tanggal,stasiun,pm10,so2,co,o3,no2,categori
3/28/2020,DKI1 (Bunderan HI),58,6,12,67,14,SEDANG
3/29/2020,DKI1 (Bunderan HI),61,7,7,56,8,SEDANG
3/30/2020,DKI1 (Bunderan HI),47,6,9,68,12,SEDANG
3/31/2020,DKI1 (Bunderan HI),51,11,9,84,10,SEDANG
4/1/2020,DKI1 (Bunderan HI),38,6,12,67,10,SEDANG
4/2/2020,DKI1 (Bunderan HI),32,4,6,33,7,BAIK
4/3/2020,DKI1 (Bunderan HI),30,5,4,33,5,BAIK
4/4/2020,DKI1 (Bunderan HI),42,6,8,47,7,BAIK
4/5/2020,DKI1 (Bunderan HI),50,4,6,63,8,SEDANG
4/6/2020,DKI1 (Bunderan HI),45,4,8,37,9,BAIK
4/7/2020,DKI1 (Bunderan HI),26,3,11,35,9,BAIK
4/8/2020,DKI1 (Bunderan HI),26,5,5,31,7,BAIK
4/9/2020,DKI1 (Bunderan HI),36,3,5,27,10,BAIK
4/10/2020,DKI1 (Bunderan HI),50,2,7,71,10,SEDANG
4/11/2020,DKI1 (Bunderan HI),48,2,6,88,6,SEDANG
4/12/2020,DKI1 (Bunderan HI),65,3,14,86,13,SEDANG
4/13/2020,DKI1 (Bunderan HI),40,2,8,46,9,BAIK
4/14/2020,DKI1 (Bunderan HI),48,4,8,51,10,SEDANG
4/15/2020,DKI1 (Bunderan HI),40,2,8,46,11,BAIK
4/16/2020,DKI1 (Bunderan HI),34,3,7,41,9,BAIK
4/17/2020,DKI1 (Bunderan HI),43,2,8,54,9,SEDANG
4/18/2020,DKI1 (Bunderan HI),43,4,5,72,7,SEDANG
4/19/2020,DKI1 (Bunderan HI),59,5,7,87,9,SEDANG
4/20/2020,DKI1 (Bunderan HI),60,3,5,73,7,SEDANG
4/21/2020,DKI1 (Bunderan HI),46,4,8,35,10,BAIK
4/22/2020,DKI1 (Bunderan HI),74,14,6,47,11,SEDANG
4/23/2020,DKI1 (Bunderan HI),45,5,5,43,7,BAIK
4/24/2020,DKI1 (Bunderan HI),43,4,3,27,8,BAIK
4/25/2020,DKI1 (Bunderan HI),46,3,7,45,8,BAIK
4/26/2020,DKI1 (Bunderan HI),57,3,5,45,8,SEDANG
4/27/2020,DKI1 (Bunderan HI),36,1,4,71,8,SEDANG
4/28/2020,DKI1 (Bunderan HI),49,2,7,45,13,BAIK
4/29/2020,DKI1 (Bunderan HI),53,4,6,52,11,SEDANG
4/30/2020,DKI1 (Bunderan HI),61,5,6,33,14,SEDANG
5/1/2020,DKI1 (Bunderan HI),47,2,9,38,10,BAIK
