tanggal,stasiun,pm10,so2,co,o3,no2,categori
1/11/2021,DKI1 (Bunderan HI),38,17,14,27,10,SEDANG
1/12/2021,DKI1 (Bunderan HI),29,20,12,26,15,BAIK
1/13/2021,DKI1 (Bunderan HI),34,17,13,20,9,BAIK
1/14/2021,DKI1 (Bunderan HI),36,15,15,26,13,SEDANG
1/15/2021,DKI1 (Bunderan HI),42,14,15,32,12,SEDANG
1/16/2021,DKI1 (Bunderan HI),52,15,17,25,14,SEDANG
1/17/2021,DKI1 (Bunderan HI),52,17,15,26,14,SEDANG
1/18/2021,DKI1 (Bunderan HI),40,16,11,26,12,SEDANG
1/19/2021,DKI1 (Bunderan HI),31,13,12,25,12,BAIK
1/20/2021,DKI1 (Bunderan HI),35,12,12,22,13,BAIK
1/21/2021,DKI1 (Bunderan HI),43,13,14,28,15,SEDANG
1/22/2021,DKI1 (Bunderan HI),49,14,14,28,15,SEDANG
1/23/2021,DKI1 (Bunderan HI),72,14,43,44,20,TIDAK SEHAT
1/24/2021,DKI1 (Bunderan HI),33,12,14,23,10,BAIK
1/25/2021,DKI1 (Bunderan HI),56,13,29,62,15,SEDANG
1/26/2021,DKI1 (Bunderan HI),52,14,19,28,13,SEDANG
1/27/2021,DKI1 (Bunderan HI),20,13,10,19,8,BAIK
1/28/2021,DKI1 (Bunderan HI),27,14,18,17,11,BAIK
1/29/2021,DKI1 (Bunderan HI),30,16,17,24,11,SEDANG
1/30/2021,DKI1 (Bunderan HI),27,13,16,24,12,BAIK
1/31/2021,DKI1 (Bunderan HI),36,13,16,26,10,SEDANG
2/1/2021,DKI1 (Bunderan HI),59,21,26,15,31,SEDANG
2/2/2021,DKI1 (Bunderan HI),30,21,14,16,24,BAIK
2/3/2021,DKI1 (Bunderan HI),23,19,11,14,19,BAIK
2/4/2021,DKI1 (Bunderan HI),36,23,14,12,24,SEDANG
2/5/2021,DKI1 (Bunderan HI),29,20,14,12,21,BAIK
2/6/2021,DKI1 (Bunderan HI),27,21,8,21,15,BAIK
2/7/2021,DKI1 (Bunderan HI),25,19,7,19,12,BAIK
2/8/2021,DKI1 (Bunderan HI),24,19,10,18,17,BAIK
2/9/2021,DKI1 (Bunderan HI),33,22,12,14,22,BAIK
2/10/2021,DKI1 (Bunderan HI),32,21,10,12,16,BAIK
2/11/2021,DKI1 (Bunderan HI),26,23,13,9,17,BAIK
2/12/2021,DKI1 (Bunderan HI),41,26,16,10,16,SEDANG
2/13/2021,DKI1 (Bunderan HI),25,20,9,19,16,BAIK
2/14/2021,DKI1 (Bunderan HI),33,18,11,19,19,BAIK
2/15/2021,DKI1 (Bunderan HI),34,20,13,17,25,BAIK
2/16/2021,DKI1 (Bunderan HI),26,18,11,18,26,BAIK
2/17/2021,DKI1 (Bunderan HI),39,23,23,12,33,SEDANG
2/18/2021,DKI1 (Bunderan HI),43,29,13,12,29,SEDANG
2/19/2021,DKI1 (Bunderan HI),29,19,20,12,23,BAIK
2/20/2021,DKI1 (Bunderan HI),30,18,11,18,20,BAIK
2/21/2021,DKI1 (Bunderan HI),31,18,10,16,17,BAIK
2/22/2021,DKI1 (Bunderan HI),51,20,18,11,23,SEDANG
2/23/2021,DKI1 (Bunderan HI),50,22,11,20,23,SEDANG
2/24/2021,DKI1 (Bunderan HI),30,22,10,9,16,BAIK
2/25/2021,DKI1 (Bunderan HI),31,26,12,14,17,BAIK
2/26/2021,DKI1 (Bunderan HI),29,18,13,18,20,BAIK
2/27/2021,DKI1 (Bunderan HI),49,23,15,17,31,SEDANG
2/28/2021,DKI1 (Bunderan HI),43,19,12,19,18,SEDANG
3/1/2021,DKI1 (Bunderan HI),37,20,12,12,17,SEDANG
3/2/2021,DKI1 (Bunderan HI),38,20,15,14,28,SEDANG
3/3/2021,DKI1 (Bunderan HI),49,19,21,17,35,SEDANG
3/4/2021,DKI1 (Bunderan HI),51,22,18,19,31,SEDANG
3/5/2021,DKI1 (Bunderan HI),52,20,16,16,30,SEDANG
3/6/2021,DKI1 (Bunderan HI),51,20,22,15,37,SEDANG
3/7/2021,DKI1 (Bunderan HI),57,23,23,19,31,SEDANG
3/8/2021,DKI1 (Bunderan HI),47,21,16,11,19,SEDANG
3/9/2021,DKI1 (Bunderan HI),36,23,15,10,22,BAIK
3/10/2021,DKI1 (Bunderan HI),45,20,20,14,27,SEDANG
3/11/2021,DKI1 (Bunderan HI),27,19,9,15,21,BAIK
3/12/2021,DKI1 (Bunderan HI),44,24,12,13,25,SEDANG
3/13/2021,DKI1 (Bunderan HI),37,27,13,13,25,SEDANG
3/14/2021,DKI1 (Bunderan HI),39,23,14,10,19,SEDANG
3/15/2021,DKI1 (Bunderan HI),45,29,18,13,34,SEDANG
3/16/2021,DKI1 (Bunderan HI),55,32,13,21,36,SEDANG
3/17/2021,DKI1 (Bunderan HI),59,25,19,20,45,SEDANG
3/18/2021,DKI1 (Bunderan HI),64,30,15,25,40,TIDAK SEHAT
3/19/2021,DKI1 (Bunderan HI),60,29,14,24,35,SEDANG
3/20/2021,DKI1 (Bunderan HI),55,28,16,19,31,SEDANG
3/21/2021,DKI1 (Bunderan HI),43,21,11,18,17,SEDANG
3/22/2021,DKI1 (Bunderan HI),38,21,13,14,18,SEDANG
3/23/2021,DKI1 (Bunderan HI),37,23,11,12,16,SEDANG
3/24/2021,DKI1 (Bunderan HI),32,21,10,9,15,SEDANG
3/25/2021,DKI1 (Bunderan HI),25,22,9,14,17,BAIK
3/26/2021,DKI1 (Bunderan HI),50,23,19,19,28,SEDANG
3/27/2021,DKI1 (Bunderan HI),53,29,13,18,33,SEDANG
3/28/2021,DKI1 (Bunderan HI),54,20,15,31,31,SEDANG
3/29/2021,DKI1 (Bunderan HI),55,19,19,21,37,SEDANG
3/30/2021,DKI1 (Bunderan HI),53,24,15,14,30,SEDANG
3/31/2021,DKI1 (Bunderan HI),43,22,13,15,23,SEDANG
4/1/2021,DKI1 (Bunderan HI),26,22,11,13,19,BAIK
4/2/2021,DKI1 (Bunderan HI),41,27,11,17,19,SEDANG
4/3/2021,DKI1 (Bunderan HI),25,20,8,18,22,BAIK
4/4/2021,DKI1 (Bunderan HI),57,21,23,14,33,SEDANG
4/5/2021,DKI1 (Bunderan HI),52,22,15,18,27,SEDANG
4/6/2021,DKI1 (Bunderan HI),33,27,10,14,18,SEDANG
4/7/2021,DKI1 (Bunderan HI),30,25,11,13,19,BAIK
4/8/2021,DKI1 (Bunderan HI),38,33,12,13,22,SEDANG
4/9/2021,DKI1 (Bunderan HI),54,26,14,15,28,SEDANG
4/10/2021,DKI1 (Bunderan HI),48,23,13,17,29,SEDANG
4/11/2021,DKI1 (Bunderan HI),45,31,12,25,31,SEDANG
4/12/2021,DKI1 (Bunderan HI),55,26,20,15,31,SEDANG
4/13/2021,DKI1 (Bunderan HI),55,23,18,21,40,SEDANG
4/14/2021,DKI1 (Bunderan HI),51,27,15,25,32,SEDANG
4/15/2021,DKI1 (Bunderan HI),56,24,24,21,40,SEDANG
4/16/2021,DKI1 (Bunderan HI),55,24,20,16,42,SEDANG
4/17/2021,DKI1 (Bunderan HI),65,24,19,19,41,TIDAK SEHAT
4/18/2021,DKI1 (Bunderan HI),57,24,11,25,26,SEDANG
4/19/2021,DKI1 (Bunderan HI),63,25,14,26,30,SEDANG
4/20/2021,DKI1 (Bunderan HI),56,25,12,21,30,SEDANG
4/21/2021,DKI1 (Bunderan HI),63,24,19,14,37,SEDANG
4/22/2021,DKI1 (Bunderan HI),54,25,14,23,40,SEDANG
4/23/2021,DKI1 (Bunderan HI),66,25,16,21,42,SEDANG
4/24/2021,DKI1 (Bunderan HI),66,23,18,30,40,SEDANG
4/25/2021,DKI1 (Bunderan HI),63,24,15,17,36,SEDANG
4/26/2021,DKI1 (Bunderan HI),56,26,10,22,24,SEDANG
4/27/2021,DKI1 (Bunderan HI),62,26,12,23,28,SEDANG
4/28/2021,DKI1 (Bunderan HI),54,21,15,21,34,SEDANG
4/29/2021,DKI1 (Bunderan HI),57,23,17,18,38,SEDANG
4/30/2021,DKI1 (Bunderan HI),61,23,18,20,42,SEDANG
5/1/2021,DKI1 (Bunderan HI),52,23,10,20,33,SEDANG
5/2/2021,DKI1 (Bunderan HI),50,22,9,18,17,SEDANG
5/3/2021,DKI1 (Bunderan HI),53,26,10,20,20,SEDANG
5/4/2021,DKI1 (Bunderan HI),59,31,14,14,26,SEDANG
5/5/2021,DKI1 (Bunderan HI),58,22,18,14,38,SEDANG
5/6/2021,DKI1 (Bunderan HI),49,19,16,18,38,SEDANG
5/7/2021,DKI1 (Bunderan HI),54,20,26,19,45,SEDANG
5/8/2021,DKI1 (Bunderan HI),52,20,12,19,28,SEDANG
5/9/2021,DKI1 (Bunderan HI),41,18,9,26,21,SEDANG
5/10/2021,DKI1 (Bunderan HI),47,19,10,25,21,SEDANG
5/11/2021,DKI1 (Bunderan HI),60,24,12,25,24,SEDANG
5/12/2021,DKI1 (Bunderan HI),59,21,10,25,21,SEDANG
5/13/2021,DKI1 (Bunderan HI),70,24,14,24,20,TIDAK SEHAT
5/14/2021,DKI1 (Bunderan HI),52,24,8,25,14,SEDANG
5/15/2021,DKI1 (Bunderan HI),51,26,11,20,19,SEDANG
5/16/2021,DKI1 (Bunderan HI),51,23,8,20,16,SEDANG
5/17/2021,DKI1 (Bunderan HI),47,22,11,24,24,SEDANG
5/18/2021,DKI1 (Bunderan HI),40,24,10,23,26,SEDANG
5/19/2021,DKI1 (Bunderan HI),52,23,17,19,36,SEDANG
5/20/2021,DKI1 (Bunderan HI),57,24,12,23,27,SEDANG
5/21/2021,DKI1 (Bunderan HI),52,24,15,22,34,SEDANG
5/22/2021,DKI1 (Bunderan HI),56,22,16,28,36,SEDANG
5/23/2021,DKI1 (Bunderan HI),60,24,21,27,37,SEDANG
5/24/2021,DKI1 (Bunderan HI),74,22,20,23,38,TIDAK SEHAT
5/25/2021,DKI1 (Bunderan HI),44,23,15,23,35,SEDANG
5/26/2021,DKI1 (Bunderan HI),56,27,11,21,24,SEDANG
5/27/2021,DKI1 (Bunderan HI),51,27,8,16,20,SEDANG
5/28/2021,DKI1 (Bunderan HI),54,29,12,16,24,SEDANG
5/29/2021,DKI1 (Bunderan HI),56,23,14,17,32,SEDANG
5/30/2021,DKI1 (Bunderan HI),47,24,16,18,29,SEDANG
5/31/2021,DKI1 (Bunderan HI),55,21,15,19,33,SEDANG
6/1/2021,DKI1 (Bunderan HI),59,22,18,19,35,SEDANG
6/2/2021,DKI1 (Bunderan HI),59,21,20,24,38,SEDANG
6/3/2021,DKI1 (Bunderan HI),54,22,20,17,41,SEDANG
6/4/2021,DKI1 (Bunderan HI),63,20,13,14,30,SEDANG
6/5/2021,DKI1 (Bunderan HI),59,23,20,19,38,SEDANG
6/6/2021,DKI1 (Bunderan HI),59,22,15,19,32,SEDANG
6/7/2021,DKI1 (Bunderan HI),52,24,13,28,31,SEDANG
6/8/2021,DKI1 (Bunderan HI),58,26,16,24,38,SEDANG
6/9/2021,DKI1 (Bunderan HI),58,24,14,23,34,SEDANG
6/10/2021,DKI1 (Bunderan HI),66,23,23,18,47,SEDANG
6/11/2021,DKI1 (Bunderan HI),59,22,15,23,40,SEDANG
6/12/2021,DKI1 (Bunderan HI),57,24,17,27,35,SEDANG
6/13/2021,DKI1 (Bunderan HI),51,23,14,25,25,SEDANG
6/14/2021,DKI1 (Bunderan HI),58,25,13,22,26,SEDANG
6/15/2021,DKI1 (Bunderan HI),62,31,13,17,29,SEDANG
6/16/2021,DKI1 (Bunderan HI),56,39,18,13,35,SEDANG
6/17/2021,DKI1 (Bunderan HI),56,28,25,17,39,SEDANG
6/18/2021,DKI1 (Bunderan HI),64,29,17,16,34,SEDANG
6/19/2021,DKI1 (Bunderan HI),54,26,21,13,45,SEDANG
6/20/2021,DKI1 (Bunderan HI),75,33,25,21,44,TIDAK SEHAT
6/21/2021,DKI1 (Bunderan HI),52,24,16,18,31,SEDANG
6/22/2021,DKI1 (Bunderan HI),44,27,15,16,32,SEDANG
6/23/2021,DKI1 (Bunderan HI),54,26,17,24,43,SEDANG
6/24/2021,DKI1 (Bunderan HI),65,31,17,17,39,SEDANG
6/25/2021,DKI1 (Bunderan HI),59,36,14,17,32,SEDANG
6/26/2021,DKI1 (Bunderan HI),54,31,10,21,23,SEDANG
6/27/2021,DKI1 (Bunderan HI),65,27,18,22,32,SEDANG
6/28/2021,DKI1 (Bunderan HI),55,24,18,26,38,SEDANG
6/29/2021,DKI1 (Bunderan HI),66,30,15,20,28,SEDANG
6/30/2021,DKI1 (Bunderan HI),65,26,19,19,38,SEDANG
7/1/2021,DKI1 (Bunderan HI),55,27,14,20,31,SEDANG
7/2/2021,DKI1 (Bunderan HI),55,33,16,14,30,SEDANG
7/3/2021,DKI1 (Bunderan HI),58,33,12,19,25,SEDANG
7/4/2021,DKI1 (Bunderan HI),68,27,11,27,22,TIDAK SEHAT
7/5/2021,DKI1 (Bunderan HI),71,28,12,34,25,TIDAK SEHAT
7/6/2021,DKI1 (Bunderan HI),56,26,9,29,29,SEDANG
7/7/2021,DKI1 (Bunderan HI),64,34,10,22,27,SEDANG
7/8/2021,DKI1 (Bunderan HI),68,32,10,26,26,SEDANG
7/9/2021,DKI1 (Bunderan HI),70,33,9,28,25,TIDAK SEHAT
7/10/2021,DKI1 (Bunderan HI),64,35,7,24,23,SEDANG
7/11/2021,DKI1 (Bunderan HI),54,32,6,21,15,SEDANG
7/12/2021,DKI1 (Bunderan HI),46,29,5,18,13,SEDANG
7/13/2021,DKI1 (Bunderan HI),63,33,10,18,24,SEDANG
7/14/2021,DKI1 (Bunderan HI),53,28,10,17,23,SEDANG
7/15/2021,DKI1 (Bunderan HI),66,31,12,24,30,SEDANG
7/16/2021,DKI1 (Bunderan HI),71,30,11,24,29,SEDANG
7/17/2021,DKI1 (Bunderan HI),63,29,8,28,20,SEDANG
7/18/2021,DKI1 (Bunderan HI),63,31,8,32,19,SEDANG
7/19/2021,DKI1 (Bunderan HI),66,26,10,32,28,SEDANG
7/20/2021,DKI1 (Bunderan HI),74,27,15,24,24,SEDANG
7/21/2021,DKI1 (Bunderan HI),48,27,7,26,17,SEDANG
7/22/2021,DKI1 (Bunderan HI),53,31,9,24,26,SEDANG
7/23/2021,DKI1 (Bunderan HI),58,26,9,27,28,SEDANG
7/24/2021,DKI1 (Bunderan HI),53,26,13,21,34,SEDANG
7/25/2021,DKI1 (Bunderan HI),70,25,23,28,38,TIDAK SEHAT
7/26/2021,DKI1 (Bunderan HI),65,27,14,17,32,SEDANG
7/27/2021,DKI1 (Bunderan HI),61,29,10,23,28,SEDANG
7/28/2021,DKI1 (Bunderan HI),68,31,13,20,30,TIDAK SEHAT
7/29/2021,DKI1 (Bunderan HI),59,28,13,24,32,SEDANG
7/30/2021,DKI1 (Bunderan HI),73,29,12,39,35,TIDAK SEHAT
7/31/2021,DKI1 (Bunderan HI),54,26,7,27,24,SEDANG
8/1/2021,DKI1 (Bunderan HI),51,25,8,29,22,SEDANG
8/2/2021,DKI1 (Bunderan HI),47,24,10,25,28,SEDANG
8/3/2021,DKI1 (Bunderan HI),50,26,11,19,35,SEDANG
8/4/2021,DKI1 (Bunderan HI),52,29,8,24,26,SEDANG
8/5/2021,DKI1 (Bunderan HI),52,29,9,21,27,SEDANG
8/6/2021,DKI1 (Bunderan HI),56,28,15,11,28,SEDANG
8/7/2021,DKI1 (Bunderan HI),55,31,7,18,18,SEDANG
8/8/2021,DKI1 (Bunderan HI),53,33,6,23,16,SEDANG
8/9/2021,DKI1 (Bunderan HI),52,30,6,25,15,SEDANG
8/10/2021,DKI1 (Bunderan HI),32,25,7,29,16,BAIK
8/11/2021,DKI1 (Bunderan HI),55,25,10,24,25,SEDANG
8/12/2021,DKI1 (Bunderan HI),55,28,8,20,19,SEDANG
8/13/2021,DKI1 (Bunderan HI),56,28,10,17,28,SEDANG
8/14/2021,DKI1 (Bunderan HI),65,30,15,24,36,SEDANG
8/15/2021,DKI1 (Bunderan HI),56,31,8,17,20,SEDANG
8/16/2021,DKI1 (Bunderan HI),53,30,8,17,19,SEDANG
8/17/2021,DKI1 (Bunderan HI),56,28,13,26,22,SEDANG
8/18/2021,DKI1 (Bunderan HI),59,25,11,27,26,SEDANG
8/19/2021,DKI1 (Bunderan HI),60,31,15,24,35,SEDANG
8/20/2021,DKI1 (Bunderan HI),58,29,11,32,34,SEDANG
8/21/2021,DKI1 (Bunderan HI),59,25,13,26,35,SEDANG
8/22/2021,DKI1 (Bunderan HI),59,28,14,25,28,SEDANG
8/23/2021,DKI1 (Bunderan HI),56,28,10,25,27,SEDANG
8/24/2021,DKI1 (Bunderan HI),59,27,12,32,30,SEDANG
8/25/2021,DKI1 (Bunderan HI),62,26,12,34,34,SEDANG
8/26/2021,DKI1 (Bunderan HI),56,27,10,22,33,SEDANG
8/27/2021,DKI1 (Bunderan HI),62,30,11,25,31,SEDANG
8/28/2021,DKI1 (Bunderan HI),65,26,11,40,27,SEDANG
8/29/2021,DKI1 (Bunderan HI),65,28,12,30,29,SEDANG
8/30/2021,DKI1 (Bunderan HI),79,27,17,39,41,TIDAK SEHAT
8/31/2021,DKI1 (Bunderan HI),64,27,12,35,33,SEDANG
9/1/2021,DKI1 (Bunderan HI),63,29,15,24,38,SEDANG
9/2/2021,DKI1 (Bunderan HI),60,29,11,30,28,SEDANG
9/3/2021,DKI1 (Bunderan HI),60,27,11,37,30,SEDANG
9/4/2021,DKI1 (Bunderan HI),58,26,10,31,28,SEDANG
9/5/2021,DKI1 (Bunderan HI),63,27,11,28,28,SEDANG
9/6/2021,DKI1 (Bunderan HI),68,31,11,26,24,SEDANG
9/7/2021,DKI1 (Bunderan HI),52,28,9,19,24,SEDANG
9/8/2021,DKI1 (Bunderan HI),53,25,16,23,34,SEDANG
9/9/2021,DKI1 (Bunderan HI),45,25,12,27,31,SEDANG
9/10/2021,DKI1 (Bunderan HI),51,27,10,25,32,SEDANG
9/11/2021,DKI1 (Bunderan HI),66,32,12,34,41,SEDANG
9/12/2021,DKI1 (Bunderan HI),61,26,10,28,27,SEDANG
9/13/2021,DKI1 (Bunderan HI),51,29,8,23,21,SEDANG
9/14/2021,DKI1 (Bunderan HI),31,24,8,20,19,BAIK
9/15/2021,DKI1 (Bunderan HI),54,29,20,20,45,SEDANG
9/16/2021,DKI1 (Bunderan HI),48,29,9,23,24,SEDANG
9/17/2021,DKI1 (Bunderan HI),42,29,7,26,20,SEDANG
9/18/2021,DKI1 (Bunderan HI),50,29,8,23,22,SEDANG
9/19/2021,DKI1 (Bunderan HI),53,26,8,33,19,SEDANG
9/20/2021,DKI1 (Bunderan HI),51,27,10,25,34,SEDANG
9/21/2021,DKI1 (Bunderan HI),55,28,11,29,36,SEDANG
9/22/2021,DKI1 (Bunderan HI),57,29,11,24,32,SEDANG
9/23/2021,DKI1 (Bunderan HI),54,29,8,27,22,SEDANG
9/24/2021,DKI1 (Bunderan HI),57,34,8,20,26,SEDANG
9/25/2021,DKI1 (Bunderan HI),49,31,7,24,20,SEDANG
9/26/2021,DKI1 (Bunderan HI),52,28,6,28,19,SEDANG
9/27/2021,DKI1 (Bunderan HI),51,27,12,22,33,SEDANG
9/28/2021,DKI1 (Bunderan HI),45,25,9,24,28,SEDANG
9/29/2021,DKI1 (Bunderan HI),54,26,12,29,38,SEDANG
9/30/2021,DKI1 (Bunderan HI),63,27,13,38,37,SEDANG
10/1/2021,DKI1 (Bunderan HI),57,30,11,32,38,SEDANG
10/2/2021,DKI1 (Bunderan HI),67,32,11,30,35,SEDANG
10/3/2021,DKI1 (Bunderan HI),70,29,10,28,28,SEDANG
10/4/2021,DKI1 (Bunderan HI),58,30,11,34,29,SEDANG
10/5/2021,DKI1 (Bunderan HI),55,29,11,30,33,SEDANG
10/6/2021,DKI1 (Bunderan HI),60,38,10,26,35,SEDANG
10/7/2021,DKI1 (Bunderan HI),45,29,9,21,28,SEDANG
10/8/2021,DKI1 (Bunderan HI),54,33,11,24,35,SEDANG
10/9/2021,DKI1 (Bunderan HI),52,27,9,32,29,SEDANG
10/10/2021,DKI1 (Bunderan HI),58,26,9,38,26,SEDANG
10/11/2021,DKI1 (Bunderan HI),59,29,10,35,30,SEDANG
10/12/2021,DKI1 (Bunderan HI),56,37,9,23,35,SEDANG
10/13/2021,DKI1 (Bunderan HI),52,28,8,25,31,SEDANG
10/14/2021,DKI1 (Bunderan HI),64,33,11,35,35,SEDANG
10/15/2021,DKI1 (Bunderan HI),75,29,12,34,37,TIDAK SEHAT
10/16/2021,DKI1 (Bunderan HI),66,28,15,32,44,SEDANG
10/17/2021,DKI1 (Bunderan HI),65,34,11,36,30,SEDANG
10/18/2021,DKI1 (Bunderan HI),44,25,9,19,26,SEDANG
10/19/2021,DKI1 (Bunderan HI),41,29,14,15,30,SEDANG
10/20/2021,DKI1 (Bunderan HI),33,29,10,21,27,SEDANG
10/21/2021,DKI1 (Bunderan HI),45,25,9,28,32,SEDANG
10/22/2021,DKI1 (Bunderan HI),64,31,18,19,48,SEDANG
10/23/2021,DKI1 (Bunderan HI),57,29,10,20,36,SEDANG
10/24/2021,DKI1 (Bunderan HI),58,27,11,28,36,SEDANG
10/25/2021,DKI1 (Bunderan HI),62,27,14,33,37,SEDANG
10/26/2021,DKI1 (Bunderan HI),55,29,14,23,43,SEDANG
10/27/2021,DKI1 (Bunderan HI),55,29,15,22,39,SEDANG
10/28/2021,DKI1 (Bunderan HI),51,28,16,22,39,SEDANG
10/29/2021,DKI1 (Bunderan HI),50,31,19,18,35,SEDANG
10/30/2021,DKI1 (Bunderan HI),48,31,12,25,40,SEDANG
10/31/2021,DKI1 (Bunderan HI),53,27,11,32,32,SEDANG
11/1/2021,DKI1 (Bunderan HI),58,32,16,22,41,SEDANG
11/2/2021,DKI1 (Bunderan HI),50,29,14,22,35,SEDANG
11/3/2021,DKI1 (Bunderan HI),49,33,13,21,38,SEDANG
11/4/2021,DKI1 (Bunderan HI),57,30,17,34,47,SEDANG
11/5/2021,DKI1 (Bunderan HI),56,31,19,18,46,SEDANG
11/6/2021,DKI1 (Bunderan HI),55,30,13,22,40,SEDANG
11/7/2021,DKI1 (Bunderan HI),38,27,8,23,25,SEDANG
11/8/2021,DKI1 (Bunderan HI),38,29,18,15,32,SEDANG
11/9/2021,DKI1 (Bunderan HI),55,32,14,17,38,SEDANG
11/10/2021,DKI1 (Bunderan HI),38,28,10,16,25,SEDANG
11/11/2021,DKI1 (Bunderan HI),41,48,12,13,15,SEDANG
11/12/2021,DKI1 (Bunderan HI),32,31,10,16,9,BAIK
11/13/2021,DKI1 (Bunderan HI),51,36,16,27,12,SEDANG
11/14/2021,DKI1 (Bunderan HI),42,29,11,18,7,SEDANG
11/15/2021,DKI1 (Bunderan HI),27,30,8,16,7,BAIK
11/16/2021,DKI1 (Bunderan HI),31,31,8,11,6,BAIK
11/17/2021,DKI1 (Bunderan HI),55,50,13,15,9,SEDANG
11/18/2021,DKI1 (Bunderan HI),55,43,18,19,13,SEDANG
11/19/2021,DKI1 (Bunderan HI),28,31,7,16,5,BAIK
11/20/2021,DKI1 (Bunderan HI),28,33,7,13,6,BAIK
11/21/2021,DKI1 (Bunderan HI),41,33,15,16,6,SEDANG
11/22/2021,DKI1 (Bunderan HI),27,32,7,14,5,BAIK
11/23/2021,DKI1 (Bunderan HI),20,32,7,13,5,BAIK
11/24/2021,DKI1 (Bunderan HI),23,30,8,12,6,BAIK
11/25/2021,DKI1 (Bunderan HI),39,34,10,11,7,SEDANG
11/26/2021,DKI1 (Bunderan HI),34,32,12,9,7,SEDANG
11/27/2021,DKI1 (Bunderan HI),30,30,10,8,5,BAIK
11/28/2021,DKI1 (Bunderan HI),19,29,5,14,4,BAIK
11/29/2021,DKI1 (Bunderan HI),23,30,7,12,5,BAIK
11/30/2021,DKI1 (Bunderan HI),29,31,9,18,7,BAIK
12/1/2021,DKI1 (Bunderan HI),49,33,13,15,12,SEDANG
12/2/2021,DKI1 (Bunderan HI),28,31,7,15,5,BAIK
12/3/2021,DKI1 (Bunderan HI),49,32,9,19,7,BAIK
12/4/2021,DKI1 (Bunderan HI),39,35,13,15,9,SEDANG
12/5/2021,DKI1 (Bunderan HI),41,39,15,15,9,SEDANG
12/6/2021,DKI1 (Bunderan HI),60,55,23,18,11,SEDANG
12/7/2021,DKI1 (Bunderan HI),30,34,12,16,9,BAIK
12/8/2021,DKI1 (Bunderan HI),45,33,17,18,10,SEDANG
12/9/2021,DKI1 (Bunderan HI),33,36,10,21,11,BAIK
12/10/2021,DKI1 (Bunderan HI),46,43,14,19,12,SEDANG
12/11/2021,DKI1 (Bunderan HI),28,33,8,24,9,BAIK
12/12/2021,DKI1 (Bunderan HI),44,32,17,15,7,SEDANG
12/13/2021,DKI1 (Bunderan HI),31,34,10,13,6,BAIK
12/14/2021,DKI1 (Bunderan HI),46,46,15,16,10,SEDANG
12/15/2021,DKI1 (Bunderan HI),58,43,19,20,14,SEDANG
12/16/2021,DKI1 (Bunderan HI),56,39,20,24,16,SEDANG
12/17/2021,DKI1 (Bunderan HI),53,42,18,24,15,SEDANG
12/18/2021,DKI1 (Bunderan HI),51,39,18,22,10,SEDANG
12/19/2021,DKI1 (Bunderan HI),58,38,24,33,15,SEDANG
12/20/2021,DKI1 (Bunderan HI),52,39,13,23,11,SEDANG
12/21/2021,DKI1 (Bunderan HI),52,41,19,22,17,SEDANG
12/22/2021,DKI1 (Bunderan HI),63,56,28,25,19,SEDANG
12/23/2021,DKI1 (Bunderan HI),56,57,18,20,18,SEDANG
12/24/2021,DKI1 (Bunderan HI),34,53,15,17,11,SEDANG
12/25/2021,DKI1 (Bunderan HI),53,56,17,17,9,SEDANG
12/26/2021,DKI1 (Bunderan HI),35,51,11,22,10,SEDANG
12/27/2021,DKI1 (Bunderan HI),52,61,15,20,15,SEDANG
12/28/2021,DKI1 (Bunderan HI),51,53,15,18,13,SEDANG
12/29/2021,DKI1 (Bunderan HI),31,54,10,24,11,SEDANG
12/30/2021,DKI1 (Bunderan HI),55,53,16,23,14,SEDANG
12/31/2021,DKI1 (Bunderan HI),62,52,23,20,14,SEDANG
